,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
0, مغازه خودکشی,ژان تولی,احسان کرم‌ویسی,هوتن شکیبا,"۲۸,۰۰۰ ",رادیو گوشه,۱۳۹۸/۰۴/۳۱, فارسی," 443.68 
                        ",اگه یک روز لبخند زدن را فراموش کنیم، زندگی کردن دیگر چه ارزشی دارد؟ دورانی را تصور کنید که به هرجا نگاه می‌کنید، تلخی، بدبختی و افسردگی را می‌بینید. زندگی در سیاهی و پوچی به‌قدری برای همه عادی شده، گویی حالت دیگری از زیستن وجود نداشته باشد. در این شرایط، مرگ بر زندگی ترجیح داده می‌شود و تقاضا برایش آن‌قدر زیاد می‌شود که کسب‌و‌کاری راه می‌افتد با هدف کمک به مردم برای تدارک یک مرگ دلخواه. کتاب مغازه‌ خودکشی، شرح یک تجارت پرسود با مشتریانی است که حاضرند برای مرگشان هزینه کنند.,داستان و رمان فرانسه,https://newcdn.fidibo.com/images/books/92139_92067_normal.jpg
1, شرط‌بندی,آنتون چخوف,حسین کارگر بهبهانی,میلاد تمدن,None,ماه آوا,۱۳۹۷/۰۲/۰۱, فارسی," 23.97 
                        ",از دوره‌ی کودکی هر بار از ما می‌پرسیدند که علم بهتر است یا ثروت پاسخ اغلبمان علم بود. چرا که فکر می‌کردیم تنها با علم می‌توان به ثروت دست یافت و انسان خردمند بهتر از انسان ثروتمند اما بی‌خرد است. اما ثروت هم مسئله‌ی کم اهمیتی نیست. حال اگر در یک شرایط قرار بگیریم و مجبور به انتخاب باشیم کدام را انتخاب می‌کنیم؟ اگر گزینه‌ای جلویمان بگذارند و بگویند 15 سال از عمر خود را بدهید و میلیون‌ها تومان پول دریافت کنید حاضر به انجام این کار هستیم؟ آنتوان چخوف نویسنده‌ی بزرگ روسی در داستان تاثیرگذار «شرط‌بندی» شخصیت‌های خود را با یک شرط‌بندی عجیب روبه‌رو می‌کند. شرطی که برنده‌ی آن برای بدست آوردن پول زیاد باید موقعیت سختی را تجربه کند.,None,https://newcdn.fidibo.com/images/books/82313_36615_normal.jpg
2, ملت عشق,الیف شافاک,ارسلان فصیحی,احمد گنجی  ،                                                                                                             شیما درخشش,"۵۴,۰۰۰ ",آوانامه,۱۳۹۷/۱۰/۰۱, فارسی," 1099.35 
                        ",الیف شافاک یکی از نویسندگان مشهور ترکیه و جهان است. این نویسنده که در ایران بانام  اليف شفق هم شناخته می‌شود آثار زیادی مانند بهترین زمان مردن، سه دختر حوا، اسکندر، شرافت و چهل قانون عشق را نوشته است. او در اکتبر سال 1971 از مادر و پدری ترک در کشور فرانسه به دنیا آمده است. شافاک تحصیلات خود را در رشته‌ی روابط بین‌الملل، مطالعات زنان و علوم سیاسی به سرانجام رسانده و مدتی را در دانشگاه میشیگان مشغول به تدریس بوده است. الیف شافاک به زبان‌های انگلیسی، اسپانیایی و عربی تسلط دارد و سفرهای زیادی به کشورهای مختلف داشته که سبب شده این نویسنده‌ی ترکیه‌ای بافرهنگ‌های کشورهای دیگر نیز آشنا باشد.,داستان و رمان ترکیه,https://newcdn.fidibo.com/images/books/86020_49673_normal.jpg
3, کیمیاگر,پائولو کوئیلو,آرش حجازی,محسن نامجو,"۳۸,۰۰۰ ",نوین کتاب,۱۳۹۶/۰۵/۱۶, فارسی," 319.57 
                        ",کیمیاگر عنوان کتابی است که برای بیشتر افرادی که عادت به مطالعه دارند آشناست! این کتاب خیلی از افراد را به مطالعه عادت داده و خاطره ای جذاب برای خواندن اولین رمان در ذهن بسیاری از مخاطبان خود به وجود آورده است. کیمیاگر یک رمان معمولی نیست، چرا که نویسنده آن با به وجود آوردن فضایی تازه از ساختارهای ذهنی اش در داستان موجب شده تا مخاطبان با کتابی متفاوت تر از آنچه فکرش را می کنند رو به رو شوند. با ما همراه باشید تا در این مقاله شما هم به این نتیجه برسید که کیمیاگر یک رمان خاص است و برای خواندن و فهمیدن این کتاب باید بیشتر از خواندن یک دور از صفحات آن زمان گذاشت.,داستان و رمان آمریکای جنوبی,https://newcdn.fidibo.com/images/books/68502_67749_normal.jpg
4, وقتی نیچه گریست,اروین یالوم,سپیده حبیب,آرمان سلطان‌زاده,"۵۱,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۷, فارسی," 925.71 
                        ",روزنامه بوستون گلوب: ,داستان و رمان آمریکا,https://newcdn.fidibo.com/images/books/82157_84608_normal.jpg
5, چشم هایش,بزرگ علوی,None,آرمان سلطان‌زاده,"۳۶,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 469.96 
                        ",«به من می‏گفت: چشم‏های تو مرا به این روز انداخت. این نگاه تو کار مرا به اینجا کشانده. تاب و تحمل نگاه‏‌های تو را نداشتم. نمی‏‌دیدی که چشم به زمین می‌‏دوختم؟ به او می‏‌گفتم: در چشم‏‌های من دقیق‌‏تر نگاه کن! جز تو هیچ‌چیزی در آن نیست می‌گفت: نه، یک دنیای مرموز در این نگاه نهفته، من آدم خجولی بودم، چشم‏‌های تو به من جرئت دادند.»,داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/82069_14181_normal.jpg
6, قلعه حیوانات,جرج ارول,عباس زارعی,آرمان سلطان‌زاده,"۲۶,۰۰۰ ",آوانامه,۱۳۹۷/۰۵/۰۳, فارسی," 190.68 
                        ",«همه‌ی حیوانات باهم برابرند، اما بعضی از آن‌ها برابرترند.» این معروف‌ترین جمله قلعه حیوانات و حال ‌و روز دنیای ماست که هیچ‌کس بهتر از جورج اورول آن را درک نکرد. این نویسنده‌ی انگلیسی مشهور با نوشتن قلعه حیوانات تصویری روشن از انقلاب‌های سوسیالیستی و به طور خاص انقلاب اکتبر ۱۹۱۷ روسیه پیش چشم ما گذاشت که از هر تصویری باورپذیرتر است. کتاب جورج اورول کتابی بدون تاریخ است که هرکسی باید بخواند و چشم‌هایش را بیشتر باز کند. این کتاب در بین صد کتاب برتر روزنامه تایمز که بین سال‌های ۱۹۲۳ تا ۲۰۰۵ نوشته‌ شده‌اند قرار دارد. ,داستان و رمان انگلیس,https://newcdn.fidibo.com/images/books/82098_82639_normal.jpg
7, دزیره,آن‌ماری سلینکو,کیوان عبیدی آشتیانی,شیما درخشش,"۷۰,۰۰۰ ",آوانامه,۱۳۹۸/۰۴/۰۶, فارسی," 2246.25 
                        ",«قلبم مالامال از عشق است و در سینه‌ام سنگینی می‌کند. تابه‌حال نمی‌دانستم که انسان می‌تواند عشق را هم در جسمش احساس کند.» این جملات بخشی از جملات رمان زیبای دزیره مشهورترین اثر آن ماری سلینکو است. این عاشقانه‌ی لطیف و زیبا جایی در قرن نوزدهم رخ‌داده و سرنوشت انسان‌های زیادی را عوض کرده است.,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/91793_84483_normal.jpg
8, جزء از کل,استیو تولتز,پیمان خاکسار,پوریا رحیمی‌سام  ،                                                                                                             رامین بیرق‌دار,"۴۰,۰۰۰ ",رادیو گوشه,۱۳۹۹/۰۶/۲۳, فارسی," 1247.15 
                        ",شیکاگو سان-تایمز:,داستان و رمان سایر کشورها,https://newcdn.fidibo.com/images/books/103275_22276_normal.jpg
9, گرامافون,شرمین نادری,None,بهرام شاه‌محمدلو,None, آفرینش کتاب الکترونیک فیروزان (فیدیبو),۱۴۰۰/۰۷/۲۱, فارسی," 24.48 
                        ","
                                    گرامافون مجموعه‌ای است از قصه‌های عامیانه‌ی ایران که «شرمین نادری» آن‌ها را جمع‌آوری و بازنویسی کرده و با صدای خاطره‌انگیز «بهرام شاه‌محمدلو» اجرا شده‌اند، قصه‌هایی کوتاه از تمام اقوام و نواحی ایران.
** این قصه‌ها ممکن است برای گروه‌های سنی کودکان مناسب نباشد.
«مینا و پلنگ» ماجرایی است عاشقانه در روستای زیبای کندلوس در مازندران. عاشقانه‌ای متفاوت که داستان عشق دختری تنها از اهالی روستا و یک پلنگ را روایت می‌کند. ولی چه سرانجامی در انتظار این عشق عجیب است؟                                                                    ",داستان و رمان ایرانی,https://newcdn.fidibo.com/images/books/121545_43927_normal.jpg
