,name,authors,translator,broadcaster,price,publisher,date,language,vol,description,category,cover_loc
0, قلعه حیوانات,جورج اورول‌,امیر امیرشاهی,بیژن  گنجعلی  ،                                                                                                             میرطاهر مظلومی  ،                                                                                                             میلاد فتوحی,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۸/۱۹, فارسی," 212.24 
                        ",کتاب مزرعه حیوانات یکی از پرمخاطب‌ترین کتاب‌های دنیا است. این کتاب نه فقط مناسب اعتراض و کنایه به نظام شوروی بلکه مناسب برای اعتراض به تمامی دولت‌ها است. نمادهای این کتاب هیچگاه قدیمی نمی‌شوند. اگر نگاهی به اطرافتان بیاندازید قطعا معانی این نمادها را دقیقا در کنار خودتان خواهید دید.,نمایشنامه,https://newcdn.fidibo.com/images/books/94546_63848_normal.jpg
1, مرگ فروشنده,آرتور میلر,حسن ملکی,آرمان سلطان‌زاده  ،                                                                                                             مریم پاک ذات  ،                                                                                                             میثم مجاوری,"۲۶,۰۰۰ ",آوانامه,۱۴۰۰/۰۵/۰۳, فارسی," 282.9 
                        ",شما برای زندگی‌تان همه کار می‌کنید تا به بهترین شکل اداره شود. در نظر خودتان بهترین تصمیم‌ها را می‌گیرید، زیاد کار می‌کنید و تلاش می‌کنید درآمدتان از چارچوب قانونی خارج نشود و همه چیز آن‌طوری باشد که باید باشد. اما آیا واقعا کار و درآمد و حتی زندگی همان‌طوری است که دولتمردان و صاحبان مشاغل می‌گویند؟,نمایشنامه,https://newcdn.fidibo.com/images/books/117658_29409_normal.jpg
2,پادکست رادیو صدای زمین,رادیو صدای زمین,None,اسماعیل باستانی  ،                                                                                                             شاهین شرافتی,None,رادیو صدای زمین,۱۳۹۸/۰۲/۲۹, فارسی," 37.97 
                        ","
                                    متن گفتاری این پادکست برگرفته از ماهنامه تجربه به قلم آرش نصیری درباره زندگی فرهاد مهراد نوشته شده‌است.                                                                    ",رادیو صدای زمین,https://newcdn.fidibo.com/images/books/84041_21774_normal.jpg
3, مکبث,ویلیام شکسپیر,عبدالرحیم احمدی,بیژن  گنجعلی  ،                                                                                                             شهاب غزالی  ،                                                                                                             میلاد فتوحی,"۲۸,۰۰۰ ",نوین کتاب,۱۳۹۸/۰۷/۱۳, فارسی," 148.18 
                        ","
                                    مکبث نوشته ویلیام شکسپیر شاهکاری‌ست آکنده از زیبایی و موسیقی کلام و سحر شاعرانه. مکبث جز گروه‌ شاهکارهای بزرگ و مسلمی است که هملت، شاه لیر، اتتلو، آنتونی و کلئوپاترا  توفان را شامل می‌شود. برخی از نقادان مکبث را از همه آن آثار دیگر برتر می‌شمارند.
نمایشنامه مکبث در عالم تراژدی بر چنان قله رفیع، یکتا و هائلی جای دارد که فقط نگاه آشیل تا حدی بر آن افتاده بود و هنوز هم بی‌همتا بر آن جای دارد و مثل روزی که دست لرزان شاعر، بیش از سه قرن پیش آن را آفرید، سرشار از زندگی، دلهره و روشنایی است.
هیچ‌جا نمی‌توان اثری چون مکبث سراغ کرد که جوهر تراژیکش این همه وافر و گیرا، بدینسان آکنده از اندوه، و تا این حد عمیق و طبیعی باشد و با و جود ظاهری بسیار ساده و عادی، خصلت شاعرانه‌اش تا بدین پایه رفیع و نافذ باشد. هیچ جا هیچ گروه بشری را در محیط خاص خود نمی‌توان دید که به شیوه این گروه، زندگی هول‌انگیز و مرمو خویش را در کلمات، در کتاب و روی صحنه آشکار کند. این راز بزرگ شگفتی و شکوه مکبث است. 
مکبث با ترجمه عبدالرحیم احمدی و خوانش جمعی از گویندگان نوین کتاب گویا منتشر شده است.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/93871_29387_normal.jpg
4, هنر همچون درمان,"آلن دوباتن  ،                                                                                             
جان آرمسترانگ",مهرناز مصباح,نیما رئیسی,"۳۲,۰۰۰ ",رادیو گوشه,۱۳۹۹/۰۳/۰۷, فارسی," 310.45 
                        ",سؤال «هنر چیست؟» قدمت زیادی دارد. از نظر «تولستوی» نویسنده و ادیب برجسته‌ی روسیه، هنر سبب ایجاد پلی از جنس همدلی بین ما و دیگران است. از نظر «آناییز نین»، مؤلف اهل آمریکا، هنر راهی برای تخلیه‌ی عواطف و احساسات درونی ماست. «آلن دوباتن»، فیلسوف حال حاضر اهل سوئیس بر این باور است هنر توانایی میانجیگری بین کاستی‌های روانی و اضطراب‌های ما با نقص‌هایمان را دارد. هنر بسیار وسیع و پیچیده است و همچون ابزاری توانایی این را دارد که ظرفیت‌های وجودی ما را گسترش دهد و نقاط ضعف ما را جبران کند. هنر به عناصر وجودی انسان خدمت می‌کند و نقص‌های آن را پوشش می‌دهد.,هنر,https://newcdn.fidibo.com/images/books/99093_55600_normal.jpg
5,پادکست نیمه شب,نیمه شب,None,مهدی خدادادی,None,نیمه شب,۱۳۹۶/۱۲/۲۹, فارسی," 24.48 
                        ","
                                    طور یک سریال کمدی ماشه‌ی سقوط تمدن غرب را کشید.

در این پادکست با خوانش مقاله دیوید هاپکینز به بهانه سیتکام فرندز به سقوط روشن فکری و تمدن غرب به دلیل ترویج مصرف گرایی و عدم احترام به دانایی پرداختیم.
تلاش کردیم از سریال فرندز متنفر باشید ولی می‌دونم اونو بیشتر از مقاله هاپکینز و ما دوست دارید ولی مارو هم گوش کنید چون آخر این پادکست پروا توصیه‌هایی رو میخونه که باعث میشه زندگی بهتری داشته باشید.
سال جدید رو تبریک میگیم و آرزو می‌کنیم همیشه شاد باشید و از بلایای طبیعی و غیر طبیعی در امان باشید... و پادکست بشنوید.                                                                    ",نیمه شب,https://newcdn.fidibo.com/images/books/83060_24471_normal.jpg
6, مرگ در می‌زند,وودی آلن,نگار شاطریان,آرمان سلطان‌زاده  ،                                                                                                             محسن زرآبادی‌پور,"۲۰,۰۰۰ ",آوانامه,۱۴۰۱/۰۲/۲۳, فارسی," 55 
                        ","
                                    وودی آلن در سال ۲۰۰۲ مجموعه‌ای را منتشر کرد که از ۵۲ نمایش تشکیل شده بود. وی در این اثر به مانند بسیاری از آثار خود موضوعاتی را که بشر در زندگی واقعی و در مواجه با آن‌ها مجال شوخی و تفکر عمیق‌تر را ندارد به تصویر می‌کشد. این کارگردان بزرگ سینما ترس‌ها و ارزش‌های نهادینه شده در جامعه و اصول خشک و انعطاف‌ناپذیری که بدون هیچ تردیدی مورد عمل و پیروی قرار می‌گیرند را در بستری طنز به چالش کشیده و به نگاه شخصی خود در مورد این مقولات می‌رسد. نمایش‌نامه «مرگ در می‌زند» یکی از آثار این مجموعه به جدی‌ترین ترس بشر می‌پردازد.

مرد عاشق پیشه سینما
«آلان استوارت کانیگزبرگ» با نام هنری «وودی آلن» در سال ۱۹۳۵ در نیویورک به دنیا آمد. در کودکی به مدرسه یهودیان رفت و هشت سال در آنجا به تحصیل پرداخت و در دبیرستان میدوود به تحصیلاتش ادامه داد. آلن با هدف کسب درآمد، به نوشتن قطعات طنز پرداخت و در ستون‌های طنز روزنامه منتشر کرد. وی به زودی متوجه شد که با این کار درآمدش از مجموع درآمد والدینش بیشتر است و استعداد زیادی در این زمینه دارد. وی تصمیم گرفت به ادامه تحصیل در رشته سینما بپردازد ولی به دلیل صبر کم همیشگی‌اش بعد از رد شد در یکی از دروس تحصیل را کنار گذاشت و به صورت مستقل به مطالعه و آموزش در زمینه نویسنگی و سینما پرداخت. آلن ۵ سال در تلویزیون به فعالیت پرداخت و در نهایت تصمیم گرفت استعدادش را در زمینه بازیگری امتحان کند. در سال ۱۹۶۰ وی در کلوپی در شهر منهتن اولین اجرای خود را تجربه کرد و به سرعت نگاه‌ها را به سوی خود جلب کرد. در سال ۱۹۶۳ او به عنوان مهمان در اغلب برنامه‌های گفتگوی تلویزیونی ظاهر می‌شد. در کارنامه هنری وودی آلن چهار جایزه اسکار و دیگر جوایز (بفتا، گولدن گلوب) جشنواره‌های معتبر بین‌المللی به چشم می‌خورد. وی فیلمنامه‌نویسی و کارگردانی فیلم‌هایش را خودش انجام می‌دهد و در اکثر آن‌ها نیز به ایفای نقش می‌پردازد. او در آثارش به ادبیات، فلسفه، روانشناسی، سینمای اروپا و مهم‌تر از همه زادگاه و اقامتگاه دائمی‌اش، شهر نیویورک پرداخته است. وودی آلن بر عکس کارنامه درخشان حرفه‌ای اش در زندگی شخصی و مسائل اخلاقی موفقیت چندانی کسب نکرد و رسوایی‌های اخلاقی زیادی به بار آورد.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/98498_35417_normal.jpg
7, مکبث,ویلیام شکسپیر,گروه ان,راضیه اسدی  ،                                                                                                             مهدی افشاریان,"۴,۸۰۰ ",سبکتو,۱۳۹۸/۰۷/۲۱, فارسی," 59.95 
                        ","
                                    مکبث نمایشنامه‌ای تراژیک از نویسنده بزرگ ویلیام شکسپیر است. کسی دقیقا نمی‌داند این نمایشنامه چه زمانی نوشته شده است اما منتقدان زمان آن را بین سال‌های ۱۵۹۹ تا ۱۶۰۶ تخمین می‌زنند. مکبث یکی از محبوب‌ترین آثار شکسپیر است که برخی از قسمت‌های آن را به شعر هم تبدیل شده است. جالب است بدانید خود شکسپیر در اولین نمایشی که از آن اجرا شد بازی کرده بود. داستان مکبث برگرفته از جنگ‌های اسکاتلند است که با ذوق و تخیل شکسپیر گره خورده و داستانی جذاب را ایجاد کرده است.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/94033_15309_normal.jpg
8, مرغابی وحشی (با صدای ۳ بعدی,هنریک ایبسن,بهزاد قادری  ،                                                                                                             يدالله آقاعباسی,آرمان سلطان‌زاده  ،                                                                                                             مریم پاک‌ذات  ،                                                                                                             مهدی صفری,"۲۶,۰۰۰ ",آوانامه,۱۴۰۰/۱۰/۲۲, فارسی," 481.43 
                        ","
                                    - ایبسن در مقام یک رئالیست نوگرا:
هنریک ایبسن (۱۸۲۵-۱۹۰۶) را از پایه گذاران رئالیسم در تئاتر اروپا می‌دانند (چه بسا تاثیر ایبسن بعدها در رگه های هنری دیگر هم دیده شد). در سبک ایبسن، شیوه‌ی شخصیت‌پردازی و نحوه‌ی ارائه‌ی زبان نمایش به زندگی عادی شهروندان نزدیک است اما این نزدیک شدن به زندگی عادی در مکتب رئالیسم چنان است که هر بازنمایی طبیعی‌نگارانه (naturalist) را نتوان کاری رئالیستی دانست.

- رئالیسم ایبسن:
نمایشنامه‌ی «مرغابی‌وحشی» نمونه‌ی برجسته‌ای از یک اثر رئالیستی‌ست، اما از نوع نوسوفوکلی. زیرا نویسنده در آن توانسته است عقل و احساس، نماد و واقعیت روزمره، زبان روزمره و شعرگونگی آن را به تعادلی خیره کننده برساند و با این کار، از طبیعی‌نگاری فاصله بگیرد: کاری که سوفوکل در درام یونان باستان انجام داد.
ایبسن همچون نویسندگان قرن نوزدهمی، انسان را به خودی خود بد نمی‌دانست و انگشت اتهامش را متوجه موانعی می‌کرد که سیر تکاملی انسان را در تاریخ کند می‌کنند. از دید او و هم‌نسلانش سنت‌بارگی، خرافه‌پرستی، بیهودگی و تنبلی، از یک سو و بنیادهای ناکارآمد اجتماعی و روابط ناسالم انسان ‌گرفتار در این بنیادها از سوی دیگر، دست به دست هم می‌دادند و طومار پیشرفت را در می‌نوردیدند.

- مرغابی‌وحشی در مقام یک رئالیسم ایبسنی:
«هاکون ورله» بازرگانی است که ظاهراً به افتخار ورود پسرش «گرگیرش ورله» که در منطقه‌ای به نام «هویدال» سرپرستی کارخانه‌ی پدرش را به عهده داشته است، مهمانی شام ترتیب داده است. عکاسی به نام «یالمار ایکدال» هم به دعوت گرگیرش، هم‌کلاس و دوست قدیمی او، در میهمانی حضور دارد. «ایکدال پیر»، پدر یالمار که روزگاری دوست و یار ورله بوده است، اینک به جرم قطع درختان پارک ملی در هویدال از مقام افسری خلع شده است و زندگی فلاکت‌باری دارد.
یالمار ازدواج کرده است و دختری به نام هدویگ دارد. گرگیرش آدم آرمان‌خواه و متعصبی است که می‌داند پدرش همه‌ی خانواده‌ی ایکدال را به تباهی کشیده و اینک قصد دارد چهره‌ی واقعی پدرش را به دیگران بشناساند و یالمار ایکدال را از خواب غفلت بیدار کند. در این میان فردی به‌نام «دکتر رلینگ» که اجاره‌نشین یالمار است سعی می‌کند آدم‌های سرخورده را به نحوی سرگرم کند تا به حقیقت نیندیشند. در این میان برخوردهای این شخصیت ها با «گینا یانسن»، همسر یالمار مسبب اتفاقاتی می‌شود که بن‌مایه‌ی تفکرات ایبسن را به خوبی به نمایش می‌گذارد.

- نسخه‌ی صوتی نمایش شاه می‌میرد:
نمایش صوتی «مرغابی‌وحشی» اثر خیرکننده‌ی هنریک ایبسن، نتیجه‌ی همکاری نشر صوتی آوانامه و «نشر بیدگل» است. ترجمه‌ی اثر بر عهده‌ی «بهزاد قادری و یدالله آقاعباسی» بوده است. در این نمایش «آرمان سلطان‌زاده»، «مریم پاکذات»، «هنگامه غریبی»، «مهدی صفری»، «مهبد قناعت‌پیشه»، «ایمان رییسی»، «آزاده رادمهر»، «پژمان رمضانی» و جمعی از گویندگان به نقش‌آفرینی پرداخته‌اند. کارگردانی، تدوین و فضاسازی اثر به عهده‌ی «محمد ابویی» بوده و تدوین سه‌بعدی نقش موثری در گیرایی بیشتر اثر ایجاد کرده است.

* جهت شنیدن بهتر فضاسازی‌ها و افکت‌های سه بعدی از هدفون‌های استریو(Stereo) یا بلندگوهای محیطی (Surround) استفاده کنید.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/126437_85433_normal.jpg
9, شاه می‌میرد,اوژن یونسکو,سحر داوری,آرمان سلطان‌زاده  ،                                                                                                             آزاده رادمهر  ،                                                                                                             مریم پاک‌ذات,"۲۲,۰۰۰ ",آوانامه,۱۴۰۰/۰۹/۰۹, فارسی," 211.81 
                        ","
                                    - یونسکو؛ نماینده‌ی تئاتر آوانگارد فرانسه:
اوژن یونسکو یکی از بزرگ‌ترین نمایشنامه‌نویسان تاریخ، نوامبر ۱۹۰۹ در رومانی متولد شد و مارس ۱۹۹۴ در فرانسه درگذشت. دوران کودکی و نوجوانی یونسکو در زمانه‌ی جنگ‌های جهانی اول و دوم میان دو وطن پدری و مادری‌اش رومانی و فرانسه گذشت؛ اما بیشتر سال‌های بزرگسالی‌اش در فرانسه سپری شد. او اغلب آثارش را نیز به زبان فرانسه منتشر کرد. اوژنِ جوان فعالیت ادبی خود را با سرودن شعر و نوشتن نقد ادبی برای نشریات شروع کرد و نخستین اثر نمایشی خود را در چهل سالگی خلق کرد. از میان آثار او، نمایشنامه‌ی «کرگدن» شهرت قابل‌توجهی دارد. اما یونسکو خالق نمایش‌های درخشان دیگری از جمله «شاه می‌میرد»، «عابر هوایی»، «آوازخوان طاس»، «صندلی‌ها»، «آدمکش» و چندین نمایشنامه‌ی تحسین‌برانگیز دیگر نیز است. یونسکو در سال ۱۹۶۴ نامزد دریافت جایزه‌ی نوبل ادبیات شد و سال ۱۹۷۰ به عضویت فرهنگستان فرانسه درآمد.

- مرگی بسیار آرام:
همان‌طور که از عنوان «شاه می‌میرد» پیداست، موضوع اصلی نمایش مرگ است و مرگ، این بار به سراغ یک شاه رفته است: شاه برانژه‌ی اول. حوادث نمایش در زمان و مکانی انتزاعی رخ می‌دهند. همسر اول شاه، ملکه مارگریت به شاه اطلاع می‌دهد که تنها ساعاتی فرصت دارد و در پایان همین نمایش مرگش فرا خواهد رسید. دکتر دربار نیز با ملکه مارگریت هم‌سو و هم‌رأی است و می‌کوشد ملکه را برای اقناع شاه یاری کند. شاه در مقابل مرگ و پذیرش آن مقاومت می‌کند و بر آن است که مانند تمام مقولات پیشینِ زندگی‌اش، مرگ را نیز مقهور قدرت فرمانروایی خود کند. همسر دومش ملکه ماری نیز هواخواه و حامی اوست و تلاش می‌کند با قدرت عشق و حمایت دلسوزانه‌اش مرگ را پس بزند. در کنار این چهار نفر، دو شخصیت اثرگذار دیگر نیز در روایت «شاه می‌میرد» نقش دارند. نگهبان بارگاه که سال‌هاست خدمت شاه را کرده و ژولیت خدمتکار شاه، شاهدانی هستند که گاه بی‌طرفانه بر روایت مرگ آرام شاه ناظرند و گاه به‌اقتضای اوضاع، سمت‌وسویی نیز می‌گیرند.

- هیاهوی بسیار برای هیچ:
اوژن یونسکو در «شاه می‌میرد» به‌زیبایی با مفهوم مرگ بازی می‌کند و آن را در مقابل قدرت قرار می‌دهد؛ گاه کنایه‌هایی آشکار به حاکمان نیز می‌زند. آن‌هایی که طوری حکومت می‌کنند که انگار قرار است تا ابد بر مسند قدرت بمانند و فنایی در کار نیست. یونسکو میل به جاودانگی انسان را نیز نقد می‌کند و هر تلاشی برای چنگ زدن به این جهان و مقاومت در برابر مرگ را هم‌چون شکسپیر هیاهوی بسیار برای هیچ قلمداد می‌کند. فضای نمایش اما به‌سردی و تلخی مرگ نیست. دیالوگ‌نویسی و فضاسازی هنرمندانه‌ی یونسکو، ریتم جذابی به اثر بخشیده و در عین این‌که گاه شنونده را در مواجهه با موقعیت‎‌های طنزآمیز، به خنده می‌اندازد، بارها و در مقابل مفاهیم مختلف او را به تأمل نیز وامی‌دارد.

- نسخه‌ی صوتی نمایش شاه می‌میرد:
نمایش صوتی «شاه می‌میرد» اثر درخشان «اوژن یونسکو» نتیجه‌ی همکاری نشر صوتی آوانامه و «نشر بیدگل» است. ترجمه‌ی اثر بر عهده‌ی «سحر داوری» بوده است. در این نمایش «آرمان سلطان‌زاده»، «آزاده رادمهر»، «مریم پاک‌ذات»، «مهدی صفری»، هنگامه غریبی» و «ایمان رئیسی» به نقش‌آفرینی پرداخته‌اند. کارگردانی نمایش برعهده‌ی «آرمان سلطان‌زاده» بوده و تدوین و فضاسازی آن را «محمد حنیفه» انجام داده است.                                                                    ",نمایشنامه,https://newcdn.fidibo.com/images/books/123944_41903_normal.jpg
